Nazov obce;Nazov okresu;Nazov kraja,
Kosicka Bela;Okres Kosice - okolie;Kosicky,
Kosicka Polianka;Okres Kosice - okolie;Kosicky,
Kosicke Olsany;Okres Kosice - okolie;Kosicky,
Kosicky Klecenov;Okres Kosice - okolie;Kosicky,
Koskovce;Okres Humenne;Presovsky,
Kosolna;Okres Trnava;Trnavsky,
Kostany nad Turcom;Okres Martin;Zilinsky,
Kosuty;Okres Galanta;Trnavsky,
Kotesova;Okres Bytca;Zilinsky,
Kotmanova;Okres Lucenec;Banskobystricky,
Kotrcina Lucka;Okres Zilina;Zilinsky,
Kovacova, okres Roznava;Okres Roznava;Kosicky
Kovacova, okres Zvolen;Okres Zvolen;Banskobystricky
Kovacovce;Okres Velky Krtis;Banskobystricky,
Kovalov;Okres Senica;Trnavsky,
Kovalovec;Okres Skalica;Trnavsky,
Kovarce;Okres Topolcany;Nitriansky,
Kozarovce;Okres Levice;Nitriansky,
Kozelnik;Okres Banska Stiavnica;Banskobystricky,
Kozi Vrbovok;Okres Krupina;Banskobystricky,
Kozany;Okres Bardejov;Presovsky,
Kozuchov;Okres Trebisov;Kosicky,
Kozuchovce;Okres Stropkov;Presovsky,
Kracunovce;Okres Svidnik;Presovsky,
Krahule;Okres Ziar nad Hronom;Banskobystricky,
Krajna Bystra;Okres Svidnik;Presovsky,
Krajna Polana;Okres Svidnik;Presovsky,
Krajna Porubka;Okres Svidnik;Presovsky,
Krajne;Okres Myjava;Trenciansky,
Krajne Cierno;Okres Svidnik;Presovsky,
Krakovany;Okres Piestany;Trnavsky,
Kral;Okres Rimavska Sobota;Banskobystricky,
Kraliky;Okres Banska Bystrica;Banskobystricky,
Kralov Brod;Okres Galanta;Trnavsky,
Kralova Lehota;Okres Liptovsky Mikulas;Zilinsky,
Kralova nad Vahom;Okres Sala;Nitriansky,
Kralova pri Senci;Okres Senec;Bratislavsky,
Kralovany;Okres Dolny Kubin;Zilinsky,
Kralovce;Okres Kosice - okolie;Kosicky,
Kralovce-Krnisov;Okres Krupina;Banskobystricky,
Kralovicove Kracany;Okres Dunajska Streda;Trnavsky,
Kralovsky Chlmec;Okres Trebisov;Kosicky,
Kraskovo;Okres Rimavska Sobota;Banskobystricky,
Krasna Luka;Okres Sabinov;Presovsky,
Krasna Ves;Okres Banovce nad Bebravou;Trenciansky,
Krasnany;Okres Zilina;Zilinsky,
Krasno;Okres Partizanske;Trenciansky,
Krasno nad Kysucou;Okres Cadca;Zilinsky,
Krasnohorska Dlha Luka;Okres Roznava;Kosicky,
Krasnohorske Podhradie;Okres Roznava;Kosicky,
Krasnovce;Okres Michalovce;Kosicky,
Krasny Brod;Okres Medzilaborce;Presovsky,
Kravany nad Dunajom;Okres Komarno;Nitriansky,
Kravany, okres Poprad;Okres Poprad;Presovsky
Kravany, okres Trebisov;Okres Trebisov;Kosicky
Krcava;Okres Sobrance;Kosicky,
Kremna;Okres Stara Lubovna;Presovsky,
Kremnica;Okres Ziar nad Hronom;Banskobystricky,
Kremnicke Bane;Okres Ziar nad Hronom;Banskobystricky,
Kristy;Okres Sobrance;Kosicky,
Krislovce;Okres Stropkov;Presovsky,
Krisovska Lieskova;Okres Michalovce;Kosicky,
Kriva;Okres Dolny Kubin;Zilinsky,
Krivan;Okres Detva;Banskobystricky,
Krivany;Okres Sabinov;Presovsky,
Krive;Okres Bardejov;Presovsky,
Krivoklat;Okres Ilava;Trenciansky,
Krivosud-Bodovka;Okres Trencin;Trenciansky,
Krize;Okres Bardejov;Presovsky,
Krizova Ves;Okres Kezmarok;Presovsky,
Krizovany;Okres Presov;Presovsky,
Krizovany nad Dudvahom;Okres Trnava;Trnavsky,
Krna;Okres Poltar;Banskobystricky,
Krnca;Okres Topolcany;Nitriansky,
Krokava;Okres Rimavska Sobota;Banskobystricky,
Krompachy;Okres Spisska Nova Ves;Kosicky,
Krpelany;Okres Martin;Zilinsky,
Krskany;Okres Levice;Nitriansky,
Krtovce;Okres Topolcany;Nitriansky,
Krucov;Okres Stropkov;Presovsky,
Krupina;Okres Krupina;Banskobystricky,
Krusetnica;Okres Namestovo;Zilinsky,
Krusinec;Okres Stropkov;Presovsky,
Krusovce;Okres Topolcany;Nitriansky,
Kruzlov;Okres Bardejov;Presovsky,
Kruzlova;Okres Svidnik;Presovsky,
Kruzna;Okres Roznava;Kosicky,
Kruzno;Okres Rimavska Sobota;Banskobystricky,
Ksinna;Okres Banovce nad Bebravou;Trenciansky,
Kubanovo;Okres Levice;Nitriansky,
Kucin, okres Bardejov;Okres Bardejov;Presovsky
Kucin, okres Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky
Kuchyna;Okres Malacky;Bratislavsky,
Kuklov;Okres Senica;Trnavsky,
Kukova;Okres Svidnik;Presovsky,
Kukucinov;Okres Levice;Nitriansky,
Kunerad;Okres Zilina;Zilinsky,
Kunesov;Okres Ziar nad Hronom;Banskobystricky,
Kunova Teplica;Okres Roznava;Kosicky,
Kuralany;Okres Levice;Nitriansky,
Kurima;Okres Bardejov;Presovsky,
Kurimany;Okres Levoca;Presovsky,
Kurimka;Okres Svidnik;Presovsky,
Kurov;Okres Bardejov;Presovsky,
Kusin;Okres Michalovce;Kosicky,
Kutniky;Okres Dunajska Streda;Trnavsky,
Kuty;Okres Senica;Trnavsky,
Kuzmice, okres Topolcany;Okres Topolcany;Nitriansky
Kuzmice, okres Trebisov;Okres Trebisov;Kosicky
Kvacany, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky
Kvacany, okres Presov;Okres Presov;Presovsky
Kvakovce;Okres Vranov nad Toplou;Presovsky,
Kvasov;Okres Puchov;Trenciansky,
Kvetoslavov;Okres Dunajska Streda;Trnavsky,
Kyjatice;Okres Rimavska Sobota;Banskobystricky,
Kyjov;Okres Stara Lubovna;Presovsky,
Kyncelova;Okres Banska Bystrica;Banskobystricky,
Kysak;Okres Kosice - okolie;Kosicky,
Kyselica;Okres Dunajska Streda;Trnavsky,
Kysta;Okres Trebisov;Kosicky,
Kysucke Nove Mesto;Okres Kysucke Nove Mesto;Zilinsky,
Kysucky Lieskovec;Okres Kysucke Nove Mesto;Zilinsky,
Lab;Okres Malacky;Bratislavsky,
Lackov;Okres Krupina;Banskobystricky,
Lackova;Okres Stara Lubovna;Presovsky,
Lackovce;Okres Humenne;Presovsky,
Lada;Okres Presov;Presovsky,
Ladce;Okres Ilava;Trenciansky,
Ladice;Okres Zlate Moravce;Nitriansky,
Ladmovce;Okres Trebisov;Kosicky,
Ladomerska Vieska;Okres Ziar nad Hronom;Banskobystricky,
Ladomirov;Okres Snina;Presovsky,
Ladomirova;Okres Svidnik;Presovsky,
Ladzany;Okres Krupina;Banskobystricky,
Laksarska Nova Ves;Okres Senica;Trnavsky,
Lascov;Okres Bardejov;Presovsky,
Laskar;Okres Martin;Zilinsky,
Lastomir;Okres Michalovce;Kosicky,
Lastovce;Okres Trebisov;Kosicky,
Laskovce;Okres Michalovce;Kosicky,
Latky;Okres Detva;Banskobystricky,
Lazany;Okres Prievidza;Trenciansky,
Lazisko;Okres Liptovsky Mikulas;Zilinsky,
Lazy pod Makytou;Okres Puchov;Trenciansky,
Lazany;Okres Presov;Presovsky,
Lednica;Okres Puchov;Trenciansky,
Lednicke Rovne;Okres Puchov;Trenciansky,
Legnava;Okres Stara Lubovna;Presovsky,
Lehnice;Okres Dunajska Streda;Trnavsky,
Lehota;Okres Nitra;Nitriansky,
Lehota nad Rimavicou;Okres Rimavska Sobota;Banskobystricky,
Lehota pod Vtacnikom;Okres Prievidza;Trenciansky,
Lehotka;Okres Lucenec;Banskobystricky,
Lehotka pod Brehmi;Okres Ziar nad Hronom;Banskobystricky,
Lechnica;Okres Kezmarok;Presovsky,
Lekarovce;Okres Sobrance;Kosicky,
Lela;Okres Nove Zamky;Nitriansky,
Leles;Okres Trebisov;Kosicky,
Lemesany;Okres Presov;Presovsky,
Lenartov;Okres Bardejov;Presovsky,
Lenartovce;Okres Rimavska Sobota;Banskobystricky,
Lendak;Okres Kezmarok;Presovsky,
Lenka;Okres Rimavska Sobota;Banskobystricky,
Lentvora;Okres Lucenec;Banskobystricky,
Leopoldov;Okres Hlohovec;Trnavsky,
Lesenice;Okres Velky Krtis;Banskobystricky,
Lesicek;Okres Presov;Presovsky,
Lesne;Okres Michalovce;Kosicky,
Lesnica;Okres Stara Lubovna;Presovsky,
Lest (vojensky obvod);Okres Zvolen;Banskobystricky,
Lestiny;Okres Dolny Kubin;Zilinsky,
Letanovce;Okres Spisska Nova Ves;Kosicky,
Letnicie;Okres Skalica;Trnavsky,
Levare;Okres Revuca;Banskobystricky,
Levice;Okres Levice;Nitriansky,
Levkuska;Okres Revuca;Banskobystricky,
Levoca;Okres Levoca;Presovsky,
Leziachov;Okres Martin;Zilinsky,
Libichava;Okres Banovce nad Bebravou;Trenciansky,
Licince;Okres Revuca;Banskobystricky,
Licartovce;Okres Presov;Presovsky,
Liesek;Okres Tvrdosin;Zilinsky,
Lieskovany;Okres Spisska Nova Ves;Kosicky,
Lieskovec, okres Humenne;Okres Humenne;Presovsky
Lieskovec, okres Zvolen;Okres Zvolen;Banskobystricky
Liesno;Okres Turcianske Teplice;Zilinsky,
Liestany;Okres Prievidza;Trenciansky,
Lietava;Okres Zilina;Zilinsky,
Lietavska Lucka;Okres Zilina;Zilinsky,
Lietavska Svinna-Babkov;Okres Zilina;Zilinsky,
Likavka;Okres Ruzomberok;Zilinsky,
Limbach;Okres Pezinok;Bratislavsky,
Lipany;Okres Sabinov;Presovsky,
Lipnik;Okres Prievidza;Trenciansky,
Lipniky;Okres Presov;Presovsky,
Lipova, okres Bardejov;Okres Bardejov;Presovsky
Lipova, okres Nove Zamky;Okres Nove Zamky;Nitriansky
Lipovany;Okres Lucenec;Banskobystricky,
Lipovce;Okres Presov;Presovsky,
Lipove;Okres Komarno;Nitriansky,
Lipovec, okres Martin;Okres Martin;Zilinsky
Lipovec, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky
Lipovnik, okres Roznava;Okres Roznava;Kosicky
Lipovnik, okres Topolcany;Okres Topolcany;Nitriansky
Liptovska Anna;Okres Liptovsky Mikulas;Zilinsky,
Liptovska Kokava;Okres Liptovsky Mikulas;Zilinsky,
Liptovska Luzna;Okres Ruzomberok;Zilinsky,
Liptovska Osada;Okres Ruzomberok;Zilinsky,
Liptovska Porubka;Okres Liptovsky Mikulas;Zilinsky,
Liptovska Sielnica;Okres Liptovsky Mikulas;Zilinsky,
Liptovska Stiavnica;Okres Ruzomberok;Zilinsky,
Liptovska Tepla;Okres Ruzomberok;Zilinsky,
Liptovska Teplicka;Okres Poprad;Presovsky,
Liptovske Beharovce;Okres Liptovsky Mikulas;Zilinsky,
Liptovske Klacany;Okres Liptovsky Mikulas;Zilinsky,
Liptovske Matiasovce;Okres Liptovsky Mikulas;Zilinsky,
Liptovske Revuce;Okres Ruzomberok;Zilinsky,
Liptovske Sliace;Okres Ruzomberok;Zilinsky,
Liptovsky Hradok;Okres Liptovsky Mikulas;Zilinsky,
Liptovsky Jan;Okres Liptovsky Mikulas;Zilinsky,
Liptovsky Michal;Okres Ruzomberok;Zilinsky,
Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky,
Liptovsky Ondrej;Okres Liptovsky Mikulas;Zilinsky,
Liptovsky Peter;Okres Liptovsky Mikulas;Zilinsky,
Liptovsky Trnovec;Okres Liptovsky Mikulas;Zilinsky,
Liskova;Okres Ruzomberok;Zilinsky,
Lisov;Okres Krupina;Banskobystricky,
Litava;Okres Krupina;Banskobystricky,
Litmanova;Okres Stara Lubovna;Presovsky,
Livina;Okres Partizanske;Trenciansky,
Livinske Opatovce;Okres Partizanske;Trenciansky,
Livov;Okres Bardejov;Presovsky,
Livovska Huta;Okres Bardejov;Presovsky,
Lodno;Okres Kysucke Nove Mesto;Zilinsky,
Lok;Okres Levice;Nitriansky,
Lokca;Okres Namestovo;Zilinsky,
Lom nad Rimavicou;Okres Brezno;Banskobystricky,
Lomna;Okres Namestovo;Zilinsky,
Lomne;Okres Stropkov;Presovsky,
Lomnicka;Okres Stara Lubovna;Presovsky,
Lontov;Okres Levice;Nitriansky,
Lopasov;Okres Skalica;Trnavsky,
Lopuchov;Okres Bardejov;Presovsky,
Lopusne Pazite;Okres Kysucke Nove Mesto;Zilinsky,
Losonec;Okres Trnava;Trnavsky,
Lovce;Okres Zlate Moravce;Nitriansky,
Lovca;Okres Ziar nad Hronom;Banskobystricky,
Lovcica-Trubin;Okres Ziar nad Hronom;Banskobystricky,
Lovinobana;Okres Lucenec;Banskobystricky,
Lozorno;Okres Malacky;Bratislavsky,
Lozin;Okres Michalovce;Kosicky,
Luba;Okres Nove Zamky;Nitriansky,
Lubela;Okres Liptovsky Mikulas;Zilinsky,
Lubenik;Okres Revuca;Banskobystricky,
Lubica;Okres Kezmarok;Presovsky,
Lubietova;Okres Banska Bystrica;Banskobystricky,
Lubina;Okres Nove Mesto nad Vahom;Trenciansky,
Lubisa;Okres Humenne;Presovsky,
Lubochna;Okres Ruzomberok;Zilinsky,
Luborec;Okres Lucenec;Banskobystricky,
Luboriecka;Okres Velky Krtis;Banskobystricky,
Lubotice;Okres Presov;Presovsky,
Lubotin;Okres Stara Lubovna;Presovsky,
Lubovec;Okres Presov;Presovsky,
Luc na Ostrove;Okres Dunajska Streda;Trnavsky,
Lucatin;Okres Banska Bystrica;Banskobystricky,
Lucenec;Okres Lucenec;Banskobystricky,
Lucina;Okres Presov;Presovsky,
Lucivna;Okres Poprad;Presovsky,
Lucka, okres Levoca;Okres Levoca;Presovsky
Lucka, okres Roznava;Okres Roznava;Kosicky
Lucka, okres Sabinov;Okres Sabinov;Presovsky
Lucka, okres Svidnik;Okres Svidnik;Presovsky
Lucky, okres Michalovce;Okres Michalovce;Kosicky
Lucky, okres Ruzomberok;Okres Ruzomberok;Zilinsky
Lucky, okres Ziar nad Hronom;Okres Ziar nad Hronom;Banskobystricky
Lucnica nad Zitavou;Okres Nitra;Nitriansky,
Ludanice;Okres Topolcany;Nitriansky,
Ludovitova;Okres Nitra;Nitriansky,
Ludrova;Okres Ruzomberok;Zilinsky,
Luhyna;Okres Trebisov;Kosicky,
Luka;Okres Nove Mesto nad Vahom;Trenciansky,
Lukacovce;Okres Humenne;Presovsky,
Lukacovce;Okres Nitra;Nitriansky,
Lukavica, okres Bardejov;Okres Bardejov;Presovsky
Lukavica, okres Zvolen;Okres Zvolen;Banskobystricky
Lukov;Okres Bardejov;Presovsky,
Lukovistia;Okres Rimavska Sobota;Banskobystricky,
Luky;Okres Puchov;Trenciansky,
Lula;Okres Levice;Nitriansky,
Lupoc;Okres Lucenec;Banskobystricky,
Lutila;Okres Ziar nad Hronom;Banskobystricky,
Lutina;Okres Sabinov;Presovsky,
Lutise;Okres Zilina;Zilinsky,
Lutov;Okres Banovce nad Bebravou;Trenciansky,
Luzany;Okres Topolcany;Nitriansky,
Luzany pri Topli;Okres Svidnik;Presovsky,
Luzianky;Okres Nitra;Nitriansky,
Lysa pod Makytou;Okres Puchov;Trenciansky,
Lysica;Okres Zilina;Zilinsky,
Macov;Okres Dunajska Streda;Trnavsky,
Mad;Okres Dunajska Streda;Trnavsky,
Madunice;Okres Hlohovec;Trnavsky,
Magnezitovce;Okres Revuca;Banskobystricky,
Machulince;Okres Zlate Moravce;Nitriansky,
Majcichov;Okres Trnava;Trnavsky,
Majere;Okres Kezmarok;Presovsky,
Majerovce;Okres Vranov nad Toplou;Presovsky,
Makov;Okres Cadca;Zilinsky,
Makovce;Okres Stropkov;Presovsky,
Mala Calomija;Okres Velky Krtis;Banskobystricky,
Mala Causa;Okres Prievidza;Trenciansky,
Mala Cierna;Okres Zilina;Zilinsky,
Mala Domasa;Okres Vranov nad Toplou;Presovsky,
Mala Frankova;Okres Kezmarok;Presovsky,
Mala Hradna;Okres Banovce nad Bebravou;Trenciansky,
Mala Ida;Okres Kosice - okolie;Kosicky,
Mala Lehota;Okres Zarnovica;Banskobystricky,
Mala Lodina;Okres Kosice - okolie;Kosicky,
Mala Maca;Okres Galanta;Trnavsky,
Mala nad Hronom;Okres Nove Zamky;Nitriansky,
Mala Polana;Okres Stropkov;Presovsky,
Mala Trna;Okres Trebisov;Kosicky,
Malacky;Okres Malacky;Bratislavsky,
Malachov;Okres Banska Bystrica;Banskobystricky,
Malas;Okres Levice;Nitriansky,
Malatina;Okres Dolny Kubin;Zilinsky,
Malatiny;Okres Liptovsky Mikulas;Zilinsky,
Malcov;Okres Bardejov;Presovsky,
Malcice;Okres Michalovce;Kosicky,
Male Borove;Okres Liptovsky Mikulas;Zilinsky,
Male Dvorniky;Okres Dunajska Streda;Trnavsky,
Male Hoste;Okres Banovce nad Bebravou;Trenciansky,
Male Chyndice;Okres Nitra;Nitriansky,
Male Kosihy;Okres Nove Zamky;Nitriansky,
Male Kozmalovce;Okres Levice;Nitriansky,
Male Krstenany;Okres Partizanske;Trenciansky,
Male Lednice;Okres Povazska Bystrica;Trenciansky,
Male Levare;Okres Malacky;Bratislavsky,
Male Ludince;Okres Levice;Nitriansky,
Male Ozorovce;Okres Trebisov;Kosicky,
Male Raskovce;Okres Michalovce;Kosicky,
Male Ripnany;Okres Topolcany;Nitriansky,
Male Straciny;Okres Velky Krtis;Banskobystricky,
Male Trakany;Okres Trebisov;Kosicky,
Male Uherce;Okres Partizanske;Trenciansky,
Male Vozokany;Okres Zlate Moravce;Nitriansky,
Male Zaluzie;Okres Nitra;Nitriansky,
Male Zlievce;Okres Velky Krtis;Banskobystricky,
Malinec;Okres Poltar;Banskobystricky,
Malinova;Okres Prievidza;Trenciansky,
Malinovo;Okres Senec;Bratislavsky,
Maluzina;Okres Liptovsky Mikulas;Zilinsky,
Maly Cetin;Okres Nitra;Nitriansky,
Maly Cepcin;Okres Turcianske Teplice;Zilinsky,
Maly Hores;Okres Trebisov;Kosicky,
Maly Kamenec;Okres Trebisov;Kosicky,
Maly Krtis;Okres Velky Krtis;Banskobystricky,
Maly Lapas;Okres Nitra;Nitriansky,
Maly Lipnik;Okres Stara Lubovna;Presovsky,
Maly Slavkov;Okres Kezmarok;Presovsky,
Maly Slivnik;Okres Presov;Presovsky,
Maly Saris;Okres Presov;Presovsky,
Malzenice;Okres Trnava;Trnavsky,
Mana;Okres Nove Zamky;Nitriansky,
Mankovce;Okres Zlate Moravce;Nitriansky,
Marcelova;Okres Komarno;Nitriansky,
Margecany;Okres Gelnica;Kosicky,
Marhan;Okres Bardejov;Presovsky,
Marianka;Okres Malacky;Bratislavsky,
Markovce;Okres Michalovce;Kosicky,
Markuska;Okres Roznava;Kosicky,
Markusovce;Okres Spisska Nova Ves;Kosicky,
Marsova-Rasov;Okres Bytca;Zilinsky,
Martin;Okres Martin;Zilinsky,
Martin nad Zitavou;Okres Zlate Moravce;Nitriansky,
Martincek;Okres Ruzomberok;Zilinsky,
Martinova;Okres Rimavska Sobota;Banskobystricky,
Martovce;Okres Komarno;Nitriansky,
Maskova;Okres Lucenec;Banskobystricky,
Maskovce;Okres Humenne;Presovsky,
Matejovce nad Hornadom;Okres Spisska Nova Ves;Kosicky,
Matiaska;Okres Vranov nad Toplou;Presovsky,
Matiasovce;Okres Kezmarok;Presovsky,
Matovce;Okres Svidnik;Presovsky,
Matovske Vojkovce;Okres Michalovce;Kosicky,
Matuskovo;Okres Galanta;Trnavsky,
Matysova;Okres Stara Lubovna;Presovsky,
Medovarce;Okres Krupina;Banskobystricky,
Medvedie;Okres Svidnik;Presovsky,
Medvedov;Okres Dunajska Streda;Trnavsky,
Medzany;Okres Presov;Presovsky,
Medzev;Okres Kosice - okolie;Kosicky,
Medzianky;Okres Vranov nad Toplou;Presovsky,
Medzibrod;Okres Banska Bystrica;Banskobystricky,
Medzibrodie nad Oravou;Okres Dolny Kubin;Zilinsky,
Medzilaborce;Okres Medzilaborce;Presovsky,
Melcice-Lieskove;Okres Trencin;Trenciansky,
Melek;Okres Nitra;Nitriansky,
Meliata;Okres Roznava;Kosicky,
Mengusovce;Okres Poprad;Presovsky,
Merasice;Okres Hlohovec;Trnavsky,
Mernik;Okres Vranov nad Toplou;Presovsky,
Mestecko;Okres Puchov;Trenciansky,
Mestisko;Okres Svidnik;Presovsky,
Micakovce;Okres Svidnik;Presovsky,
Mierovo;Okres Dunajska Streda;Trnavsky,
Miezgovce;Okres Banovce nad Bebravou;Trenciansky,
Michajlov;Okres Snina;Presovsky,
Michal na Ostrove;Okres Dunajska Streda;Trnavsky,
Michal nad Zitavou;Okres Nove Zamky;Nitriansky,
Michalany;Okres Trebisov;Kosicky,
Michalkova;Okres Zvolen;Banskobystricky,
Michalok;Okres Vranov nad Toplou;Presovsky,
Michalova;Okres Brezno;Banskobystricky,
Michalovce;Okres Michalovce;Kosicky,
Miklusovce;Okres Presov;Presovsky,
Mikova;Okres Stropkov;Presovsky,
Mikulasova;Okres Bardejov;Presovsky,
Mikusovce, okres Ilava;Okres Ilava;Trenciansky
Mikusovce, okres Lucenec;Okres Lucenec;Banskobystricky
Milhost;Okres Kosice - okolie;Kosicky,
Miloslavov;Okres Senec;Bratislavsky,
Milpos;Okres Sabinov;Presovsky,
Minovce;Okres Stropkov;Presovsky,
Mirkovce;Okres Presov;Presovsky,
Mirola;Okres Svidnik;Presovsky,
Mladzovo;Okres Poltar;Banskobystricky,
Mlynarovce;Okres Svidnik;Presovsky,
Mlynceky;Okres Kezmarok;Presovsky,
Mlynica;Okres Poprad;Presovsky,
Mlynky;Okres Spisska Nova Ves;Kosicky,
Mnichova Lehota;Okres Trencin;Trenciansky,
Mnisek nad Hnilcom;Okres Gelnica;Kosicky,
Mnisek nad Popradom;Okres Stara Lubovna;Presovsky,
Moca;Okres Komarno;Nitriansky,
Mocenok;Okres Sala;Nitriansky,
Mociar;Okres Banska Stiavnica;Banskobystricky,
Modra;Okres Pezinok;Bratislavsky,
Modra nad Cirochou;Okres Humenne;Presovsky,
Modrany;Okres Komarno;Nitriansky,
Modrova;Okres Nove Mesto nad Vahom;Trenciansky,
Modrovka;Okres Nove Mesto nad Vahom;Trenciansky,
Modry Kamen;Okres Velky Krtis;Banskobystricky,
Mojmirovce;Okres Nitra;Nitriansky,
Mojs;Okres Zilina;Zilinsky,
Mojtin;Okres Puchov;Trenciansky,
Mojzesovo;Okres Nove Zamky;Nitriansky,
Mokra Luka;Okres Revuca;Banskobystricky,
Mokrance;Okres Kosice - okolie;Kosicky,
Mokroluh;Okres Bardejov;Presovsky,
Mokry Haj;Okres Skalica;Trnavsky,
Moldava nad Bodvou;Okres Kosice - okolie;Kosicky,
Moravany;Okres Michalovce;Kosicky,
Moravany nad Vahom;Okres Piestany;Trnavsky,
Moravske Lieskove;Okres Nove Mesto nad Vahom;Trenciansky,
Moravsky Svaty Jan;Okres Senica;Trnavsky,
Most pri Bratislave;Okres Senec;Bratislavsky,
Mostova;Okres Galanta;Trnavsky,
Moskovec;Okres Turcianske Teplice;Zilinsky,
Mosovce;Okres Turcianske Teplice;Zilinsky,
Mostenica;Okres Banska Bystrica;Banskobystricky,
Mosurov;Okres Presov;Presovsky,
Motesice;Okres Trencin;Trenciansky,
Motycky;Okres Banska Bystrica;Banskobystricky,
Molca;Okres Banska Bystrica;Banskobystricky,
Mrazovce;Okres Stropkov;Presovsky,
Mucin;Okres Lucenec;Banskobystricky,
Mudronovo;Okres Komarno;Nitriansky,
Mudrovce;Okres Kosice - okolie;Kosicky,
Mula;Okres Velky Krtis;Banskobystricky,
Muran;Okres Revuca;Banskobystricky,
Muranska Dlha Luka;Okres Revuca;Banskobystricky,
Muranska Huta;Okres Revuca;Banskobystricky,
Muranska Lehota;Okres Revuca;Banskobystricky,
Muranska Zdychava;Okres Revuca;Banskobystricky,
Mutne;Okres Namestovo;Zilinsky,
Muzla;Okres Nove Zamky;Nitriansky,
Myjava;Okres Myjava;Trenciansky,
Myslina;Okres Humenne;Presovsky,
Mytna;Okres Lucenec;Banskobystricky,
Mytne Ludany;Okres Levice;Nitriansky,
Myto pod Dumbierom;Okres Brezno;Banskobystricky,
Nacina Ves;Okres Michalovce;Kosicky,
Nadlice;Okres Partizanske;Trenciansky,
Nagov;Okres Medzilaborce;Presovsky,
Nahac;Okres Trnava;Trnavsky,
Nalepkovo;Okres Gelnica;Kosicky,
Namestovo;Okres Namestovo;Zilinsky,
Nana;Okres Nove Zamky;Nitriansky,
Nandraz;Okres Revuca;Banskobystricky,
Narad;Okres Dunajska Streda;Trnavsky,
Necpaly;Okres Martin;Zilinsky,
Nedanovce;Okres Partizanske;Trenciansky,
Nedasovce;Okres Banovce nad Bebravou;Trenciansky,
Neded;Okres Sala;Nitriansky,
Nededza;Okres Zilina;Zilinsky,
Nedozery-Brezany;Okres Prievidza;Trenciansky,
Nechvalova Polianka;Okres Humenne;Presovsky,
Nemce;Okres Banska Bystrica;Banskobystricky,
Nemcovce, okres Bardejov;Okres Bardejov;Presovsky
Nemcovce, okres Presov;Okres Presov;Presovsky
Nemcice;Okres Topolcany;Nitriansky,
Nemcinany;Okres Zlate Moravce;Nitriansky,
Nemecka;Okres Brezno;Banskobystricky,
Nemecky;Okres Topolcany;Nitriansky,
Nemesany;Okres Levoca;Presovsky,
Nemsova;Okres Trencin;Trenciansky,
Nenince;Okres Velky Krtis;Banskobystricky,
Neporadza, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky
Neporadza, okres Trencin;Okres Trencin;Trenciansky
Neslusa;Okres Kysucke Nove Mesto;Zilinsky,
Nesvady;Okres Komarno;Nitriansky,
Neverice;Okres Zlate Moravce;Nitriansky,
Nevidzany, okres Prievidza;Okres Prievidza;Trenciansky
Nevidzany, okres Zlate Moravce;Okres Zlate Moravce;Nitriansky
Nevolne;Okres Ziar nad Hronom;Banskobystricky,
Nezbudska Lucka;Okres Zilina;Zilinsky,
Nimnica;Okres Puchov;Trenciansky,
Nitra;Okres Nitra;Nitriansky,
Nitra nad Iplom;Okres Lucenec;Banskobystricky,
Nitrianska Blatnica;Okres Topolcany;Nitriansky,
Nitrianska Streda;Okres Topolcany;Nitriansky,
Nitrianske Hrnciarovce;Okres Nitra;Nitriansky,
Nitrianske Pravno;Okres Prievidza;Trenciansky,
Nitrianske Rudno;Okres Prievidza;Trenciansky,
Nitrianske Sucany;Okres Prievidza;Trenciansky,
Nitrica;Okres Prievidza;Trenciansky,
Nizna Boca;Okres Liptovsky Mikulas;Zilinsky,
Nizna Hutka;Okres Kosice - okolie;Kosicky,
Nizna Jablonka;Okres Humenne;Presovsky,
Nizna Jedlova;Okres Svidnik;Presovsky,
Nizna Kamenica;Okres Kosice - okolie;Kosicky,
Nizna Mysla;Okres Kosice - okolie;Kosicky,
Nizna Olsava;Okres Stropkov;Presovsky,
Nizna Pisana;Okres Svidnik;Presovsky,
Nizna Polianka;Okres Bardejov;Presovsky,
Nizna Rybnica;Okres Sobrance;Kosicky,
Nizna Sitnica;Okres Humenne;Presovsky,
Nizna Slana;Okres Roznava;Kosicky,
Nizna Vola;Okres Bardejov;Presovsky,
Nizna, okres Piestany;Okres Piestany;Trnavsky
Nizna, okres Tvrdosin;Okres Tvrdosin;Zilinsky
Nizne Ladickovce;Okres Humenne;Presovsky,
Nizne Nemecke;Okres Sobrance;Kosicky,
Nizne Repase;Okres Levoca;Presovsky,
Nizne Ruzbachy;Okres Stara Lubovna;Presovsky,
Nizny Caj;Okres Kosice - okolie;Kosicky,
Nizny Hrabovec;Okres Vranov nad Toplou;Presovsky,
Nizny Hrusov;Okres Vranov nad Toplou;Presovsky,
Nizny Klatov;Okres Kosice - okolie;Kosicky,
Nizny Komarnik;Okres Svidnik;Presovsky,
Nizny Krucov;Okres Vranov nad Toplou;Presovsky,
